Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
94.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
94.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
94.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
94.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
95.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
95.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
95.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
95.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
96.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
96.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
96.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
96.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
97.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
97.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
97.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
97.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
98.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
98.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
98.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
98.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
99.trim_1P_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
99.trim_1P_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
99.trim_1P_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
99.trim_1P_u2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR1719013_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719013_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719013_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719013_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719014_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719014_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719014_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719014_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719015_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719015_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719015_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719015_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719016_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719016_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719016_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719016_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719017_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719017_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719017_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719017_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719018_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719018_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719018_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719018_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719204_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719204_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719204_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719204_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
SRR1719206_P1	68.73063590201593	28.0	98.02075324902518	36.36363636363637	217219.0
SRR1719206_P2	78.23486895713543	23.0	77.46158485215382	36.36363636363637	217219.0
SRR1719206_U1	1.3953488372092977	38.0	83.5906976744186	27.27272727272727	215.0
SRR1719206_u2	9.090909090909093	23.0	67.51515151515152	36.36363636363637	33.0
