Module	Section	Sample Name	Source
FastQC	all_sections	SRR1719013_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719013_P2_fastqc.zip
FastQC	all_sections	SRR1719013_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719013_P1_fastqc.zip
FastQC	all_sections	SRR1719013_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719013_U1_fastqc.zip
FastQC	all_sections	SRR1719013_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719013_u2_fastqc.zip
FastQC	all_sections	SRR1719014_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719014_P1_fastqc.zip
FastQC	all_sections	SRR1719014_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719014_P2_fastqc.zip
FastQC	all_sections	SRR1719014_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719014_U1_fastqc.zip
FastQC	all_sections	SRR1719014_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719014_u2_fastqc.zip
FastQC	all_sections	SRR1719015_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719015_P1_fastqc.zip
FastQC	all_sections	SRR1719015_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719015_P2_fastqc.zip
FastQC	all_sections	SRR1719015_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719015_U1_fastqc.zip
FastQC	all_sections	SRR1719015_u2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719015_u2_fastqc.zip
FastQC	all_sections	SRR1719016_P1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719016_P1_fastqc.zip
FastQC	all_sections	SRR1719016_P2	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719016_P2_fastqc.zip
FastQC	all_sections	SRR1719016_U1	/home/milenatr/private/genome_analysis_2021_git/documents/fastQC_after_trim/SRR1719016_U1_fastqc.zip
