Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR5819794_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819794_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819794_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819794_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR5819795_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819795_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819795_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819795_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR5819796_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819796_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819796_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819796_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR5819797_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819797_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819797_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819797_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR5819798_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819798_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819798_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819798_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
SRR5819799_P1	40.075728788059415	41.0	98.46151990294413	9.090909090909092	8273173.0
SRR5819799_P2	31.01161422512118	40.0	95.52296053763169	0.0	8273173.0
SRR5819799_U1	30.328305235137535	42.0	93.6564330079858	9.090909090909092	39445.0
SRR5819799_U2	25.823846614739367	39.0	85.42600359496704	9.090909090909092	1669.0
