# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_1os1f8o1/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_1os1f8o1 -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs one2one --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_1os1f8o1
# time: Sun May 16 09:13:47 2021
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
rna3158	29078.XP_008143234.1	2.6e-91	343.6	Chiroptera	LURAP1L												Mammalia	2BYW3@1,2QU2C@2759,38E7B@33154,3BGDT@33208,3CTGG@33213,3J2XE@40674,489IQ@7711,497EV@7742,4KY4B@9397	NA|NA|NA	S	Leucine rich adaptor protein 1-like
rna3163	29078.XP_008143283.1	0.0	1132.5	Chiroptera	SPATA31D1												Mammalia	29KRA@1,2SH7F@2759,38HKZ@33154,3BKJW@33208,3CYK2@33213,3JAPD@40674,4894B@7711,494SH@7742,4M22M@9397	NA|NA|NA	S	FAM75 family
gene2144	9707.XP_004396822.1	1.4e-08	65.1	Eukaryota				ko:K05764	ko04810,map04810				ko00000,ko00001,ko04812				Eukaryota	KOG4794@1,KOG4794@2759	NA|NA|NA	U	Thymosin
gene2145	185453.XP_006831905.1	7.2e-24	117.9	Afrotheria	RPL4			ko:K02930	ko03010,map03010	M00177,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Mammalia	34U5W@311790,38NDR@33154,3B9X9@33208,3CRNG@33213,3JDPT@40674,484ZC@7711,495JZ@7742,COG0088@1,KOG1475@2759	NA|NA|NA	A	60S ribosomal protein
gene2147	132908.ENSPVAP00000004133	1.4e-26	125.2	Chiroptera	COX6C	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045277,GO:0070069,GO:0070469,GO:0098796,GO:0098803		ko:K02268	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016	M00154			ko00000,ko00001,ko00002				Mammalia	2E80A@1,2SEI2@2759,3A64H@33154,3BT1D@33208,3D9BW@33213,3JHZH@40674,48FVV@7711,49CR5@7742,4KZAD@9397	NA|NA|NA	S	Cytochrome c oxidase subunit
rna3175	61622.XP_010381913.1	3.4e-19	101.7	Cercopithecoidea	TMEM261	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006996,GO:0007005,GO:0008150,GO:0009987,GO:0010257,GO:0016020,GO:0016043,GO:0019866,GO:0022607,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032981,GO:0033108,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0071840											Mammalia	2CZC0@1,2S9M0@2759,35QPF@314146,36ARU@314294,3A6WH@33154,3BTHZ@33208,3D8YA@33213,3JHN0@40674,48FGP@7711,49CFY@7742,4MQ32@9443	NA|NA|NA	S	Distal membrane arm assembly complex 1
gene2151	132908.ENSPVAP00000007819	3.8e-21	108.2	Chiroptera													Mammalia	3AKH7@33154,3C05Z@33208,3D7SM@33213,3JGUK@40674,48FE5@7711,49BY4@7742,4M4PC@9397,KOG4161@1,KOG4161@2759	NA|NA|NA	BK	methyl-CpG-binding domain protein 3-like
# 7 queries scanned
# Total time (seconds): 2.19872117043
# Rate: 3.18 q/s
